target,workload,variant,syscalls,bytes_read,useful_bytes,logical_reads,amplification,hit_rate,wall_ms,span_fetches,span_overreads,agree_twice_suppressed,retained_bytes,items,checksum,note
synthetic/sequential,walk,hybrid-4k,2405,3408384,196628,16385,17.3342,0.8582,2.5104,2341,0,2341,3371008,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,hybrid-4k+text,1415,4043008,196628,16385,20.5617,0.9165,2.8454,1351,0,2341,3371008,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,geometry,uncached,4200,33800,33800,4200,1.0000,0.0000,0.1784,0,0,0,0,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-128,1400,179200,33800,4200,5.3018,0.6667,0.3379,0,0,0,896,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-256,1200,307200,33800,4200,9.0888,0.7143,0.3485,0,0,0,1536,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-512,1000,512000,33800,4200,15.1479,0.7619,0.3538,0,0,0,2560,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-1k,800,819200,33800,4200,24.2367,0.8095,0.3603,0,0,0,4096,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-2k,400,819200,33800,4200,24.2367,0.9048,0.3355,0,0,0,4096,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-4k,400,1638400,33800,4200,48.4734,0.9048,0.4094,0,0,0,8192,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,page-16k,400,6553600,33800,4200,193.8935,0.9048,0.6357,0,0,0,32768,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,span,600,819200,33800,4200,24.2367,0.8571,0.4248,600,0,0,3968,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,hybrid-1k,600,819200,33800,4200,24.2367,0.8571,0.4221,600,0,0,3968,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,hybrid-4k,600,819200,33800,4200,24.2367,0.8571,0.4365,600,0,0,3968,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,geometry,hybrid-4k+text,600,1689600,33800,4200,49.9882,0.8571,0.5925,600,0,0,5504,200,A1D9323ECE377225,"200 snapshots"
synthetic/sequential,poll,uncached,2480,22640,22640,2480,1.0000,0.0000,0.0962,0,0,0,0,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-128,620,79360,20080,2160,3.9522,0.7182,0.1480,0,0,120,3968,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-256,460,117760,20080,2160,5.8645,0.7890,0.1523,0,0,120,5888,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-512,340,174080,20080,2160,8.6693,0.8440,0.1790,0,0,120,8704,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-1k,220,225280,20080,2160,11.2191,0.8991,0.1808,0,0,120,11264,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-2k,140,286720,20080,2160,14.2789,0.9358,0.1765,0,0,120,14336,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-4k,100,409600,20080,2160,20.3984,0.9541,0.1830,0,0,120,20480,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,page-16k,60,983040,20080,2160,48.9562,0.9722,0.2008,0,0,120,49152,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,span,240,176640,20080,2160,8.7968,0.8909,0.2235,120,0,120,8704,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,hybrid-1k,160,202240,20080,2160,10.0717,0.9273,0.2318,120,0,120,9984,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,hybrid-4k,160,325120,20080,2160,16.1912,0.9273,0.2722,120,0,120,16128,120,EDF480D48C275DCD,"20 snapshots"
synthetic/sequential,poll,hybrid-4k+text,120,386560,20080,2160,19.2510,0.9455,0.2713,80,0,120,17536,120,EDF480D48C275DCD,"20 snapshots"
synthetic/clustered,walk,uncached,23406,252796,252796,23406,1.0000,0.0000,1.3893,0,0,0,0,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-128,6743,863104,196628,16385,4.3895,0.6033,2.1692,0,0,2341,863104,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-256,4545,1163520,196628,16385,5.9174,0.7277,1.8609,0,0,2341,1163520,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-512,3459,1771008,196628,16385,9.0069,0.7908,2.1243,0,0,2341,1771008,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-1k,2912,2981888,196628,16385,15.1651,0.8231,1.8799,0,0,2341,2981888,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-2k,1654,3387392,196628,16385,17.2274,0.8993,1.7755,0,0,2341,3387392,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-4k,831,3403776,196628,16385,17.3107,0.9494,1.7243,0,0,2341,3403776,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,page-16k,249,3637248,196628,16385,18.4981,0.9870,1.6914,0,0,2341,3489792,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,span,4402,3411712,196628,16385,17.3511,0.7410,2.7504,2341,0,2341,3371776,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,hybrid-1k,2611,3421440,196628,16385,17.4006,0.8464,2.5943,2341,0,2341,3378176,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,hybrid-4k,2405,3451520,196628,16385,17.5536,0.8585,2.3952,2325,0,2341,3403264,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,walk,hybrid-4k+text,1446,4148352,196628,16385,21.0975,0.9149,2.4944,1367,0,2341,3403520,2341,3ADF6BB62FBE3646,"Complete"
synthetic/clustered,geometry,uncached,3200,25800,25800,3200,1.0000,0.0000,0.1170,0,0,0,0,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-128,1000,128000,25800,3200,4.9612,0.6875,0.2130,0,0,0,640,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-256,800,204800,25800,3200,7.9380,0.7500,0.2190,0,0,0,1024,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-512,800,409600,25800,3200,15.8760,0.7500,0.2318,0,0,0,2048,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-1k,600,614400,25800,3200,23.8140,0.8125,0.2323,0,0,0,3072,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-2k,400,819200,25800,3200,31.7519,0.8750,0.2496,0,0,0,4096,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-4k,400,1638400,25800,3200,63.5039,0.8750,0.2841,0,0,0,8192,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,page-16k,400,6553600,25800,3200,254.0155,0.8750,0.4495,0,0,0,32768,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,span,400,537600,25800,3200,20.8372,0.8750,0.3152,400,0,0,2688,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,hybrid-1k,400,537600,25800,3200,20.8372,0.8750,0.3199,400,0,0,2688,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,hybrid-4k,400,537600,25800,3200,20.8372,0.8750,0.3312,400,0,0,2688,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,geometry,hybrid-4k+text,400,1126400,25800,3200,43.6589,0.8750,0.3946,400,0,0,4096,200,94F70872B0D1C6E5,"200 snapshots"
synthetic/clustered,poll,uncached,2120,19340,19340,2120,1.0000,0.0000,0.0798,0,0,0,0,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,page-128,620,79360,17260,1860,4.5979,0.6737,0.1256,0,0,100,3968,100,45638D00012EEDF5,"20 snapshots"
